t,mean_speed,coherence,n_clusters,mean_cluster_size,n_edges,mean_novelty,mean_boreness,mean_load,n_joined,n_detached,n_merges,mean_omega0,std_omega0
17,0.33503856237728724,0.14675494193913446,34,1.4705882352941178,18,0.04800660336111326,0.009603927880400242,1.7247993879142605,0,0,0,0.1512899647089634,0.009111315162920573
18,0.33976986830525335,0.14691596174665994,34,1.4705882352941178,18,0.04250276186047126,0.011090133184167158,1.7524982265394768,0,0,0,0.1512899647089634,0.009111315162920573
19,0.3479360820313152,0.15166213609289794,33,1.5151515151515151,19,0.05353236171360631,0.012363136539843209,1.7668668440955597,1,0,1,0.1512899647089634,0.009111315162920573
20,0.35048683499911604,0.14552552618493403,32,1.5625,20,0.10452869567268967,0.013738345968174599,1.8380277877041604,1,0,1,0.1512899647089634,0.009111315162920573
21,0.35450856338204106,0.1535027160874398,31,1.6129032258064515,21,0.16020131122278297,0.014891334042118152,1.8621037144590802,1,0,1,0.1512899647089634,0.009111315162920573
22,0.3547240349584716,0.20353607298388313,30,1.6666666666666667,22,0.18598888130473298,0.01575219116086199,1.8853305245768974,1,0,1,0.1512899647089634,0.009111315162920573
23,0.3581339674490765,0.2081371240604829,29,1.7241379310344827,23,0.17055095207538742,0.01636753019159603,1.9301334680907758,1,0,1,0.1512899647089634,0.009111315162920573
24,0.3590539443009179,0.20824001931609976,29,1.7241379310344827,23,0.15010286797269307,0.01712462817884254,1.9154138934177736,0,0,0,0.1512899647089634,0.009111315162920573
25,0.3608135937833656,0.20834082557101208,29,1.7241379310344827,23,0.1320992795010045,0.017977507505209725,1.886773697176221,0,0,0,0.1512899647089634,0.009111315162920573
26,0.36360432892888644,0.2084395378302114,29,1.7241379310344827,23,0.1162661254998866,0.018910745869631606,1.8758952724066456,0,0,0,0.1512899647089634,0.009111315162920573
27,0.35891725392447166,0.20853615115945273,29,1.7241379310344827,25,0.10476417653102209,0.019872213047526573,1.9169602037486484,2,0,0,0.1512899647089634,0.009111315162920573
28,0.35593582989003,0.20863066068548147,29,1.7241379310344827,25,0.0924120770013637,0.020818368295539548,1.9407735195733449,0,0,0,0.1512899647089634,0.009111315162920573
29,0.3565949883254181,0.2087230615962602,30,1.6666666666666667,24,0.0918951408482023,0.021754080502568413,1.9203817895383162,0,1,0,0.1512899647089634,0.009111315162920573
30,0.35317725439110825,0.20881334914119185,30,1.6666666666666667,24,0.08114622883381474,0.02265410305194158,1.8796212660723348,0,0,0,0.1512899647089634,0.009111315162920573
31,0.36039831290147945,0.20890151863134218,30,1.6666666666666667,24,0.07140197755377396,0.023562736550314337,1.824041333111299,0,0,0,0.1512899647089634,0.009111315162920573
